MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
476,0.15396142,0.474262536,0.786754906,0.94710356,0.652069688,0.387338787,0.145570606,0.074014239,0.654180586,0.373190999,0.136207178,0.056128755,0.149299696,-0.252260834,-0.611923873,-0.677775323,0.15570657,-0.24599202,-0.582481623,-0.649414063,0.709780633,-0.018849529,0.111035444,0.002808889,0.049587131
515,0.162405759,0.481389612,0.792215765,0.951607287,0.656653762,0.394596249,0.159669787,0.092337996,0.664394081,0.392876804,0.14215906,0.074823126,0.157473117,-0.255826205,-0.612121463,-0.676674962,0.163770571,-0.228668422,-0.563850582,-0.635742188,0.715682447,-0.008564912,0.110255025,-0.008708168,0.059642885
556,0.17121911,0.489429384,0.799374938,0.961010575,0.660016119,0.406413108,0.163585439,0.103091225,0.674482465,0.401876152,0.13724494,0.088862658,0.163601607,-0.257020265,-0.611317277,-0.676149547,0.175305277,-0.232731342,-0.578765154,-0.657226563,0.723086238,0.014403897,0.132216677,0.010504819,0.064652979
595,0.175058663,0.491823852,0.800450742,0.967546582,0.670525134,0.414330781,0.178537145,0.123603061,0.679899096,0.410321832,0.141200885,0.094505936,0.167947859,-0.259504646,-0.612280846,-0.676648676,0.178411797,-0.234980717,-0.589259267,-0.660644531,0.724472582,0.034720261,0.124237433,0.026197759,0.079603136
675,0.180263698,0.499284774,0.809950054,0.971746624,0.678602576,0.423952281,0.205850914,0.150274158,0.685825109,0.415116459,0.187396958,0.116383836,0.174878761,-0.260240406,-0.61685729,-0.677977085,0.181686878,-0.244160086,-0.600911736,-0.676269531,0.733493507,0.056634612,0.187263444,0.041365873,0.062423006
714,0.178011701,0.499278426,0.811887681,0.972509146,0.680138588,0.424965471,0.210600182,0.152493581,0.687740684,0.415762901,0.186072126,0.113617554,0.172471493,-0.263671666,-0.618291199,-0.676124454,0.179624885,-0.25478214,-0.600535333,-0.668651223,0.734968424,0.052931499,0.163087457,0.036433447,0.083942823
753,0.174247533,0.495923042,0.809033215,0.97177887,0.677754998,0.427275568,0.21580711,0.156417415,0.684248269,0.415177435,0.184662834,0.123987958,0.169228435,-0.268921584,-0.619134665,-0.677022338,0.175354153,-0.260806382,-0.597207904,-0.668128073,0.731987357,0.062099516,0.189522699,0.037680466,0.082185999
794,0.17073594,0.492795199,0.806322992,0.96668756,0.673017383,0.422025919,0.213961259,0.156730905,0.679737747,0.409977585,0.182114512,0.110013083,0.164861336,-0.279806554,-0.621188879,-0.67885232,0.172714621,-0.259912074,-0.602220237,-0.672369719,0.729168952,0.056231804,0.142173126,0.035896424,0.076189458
913,0.154662743,0.478885323,0.794346929,0.951382518,0.656284809,0.404866427,0.195874482,0.142333224,0.664236069,0.392877996,0.156329617,0.084033571,0.150085717,-0.292025,-0.626702607,-0.687527716,0.155617133,-0.265138626,-0.60704875,-0.679535687,0.716735721,0.045168813,0.137040988,0.000507852,0.056125544
952,0.151668057,0.475306422,0.790594161,0.949940443,0.653539062,0.398720771,0.192880765,0.135643944,0.65475738,0.388045251,0.154814661,0.076952823,0.147768602,-0.280236661,-0.61712271,-0.685466528,0.151994377,-0.261173964,-0.606839716,-0.679729521,0.712988436,0.038860142,0.10578876,-0.002110148,0.044493727
991,0.151144773,0.475288421,0.790734828,0.950651288,0.652315676,0.396787226,0.188633442,0.129616544,0.65245688,0.380455971,0.145890027,0.073189601,0.148187071,-0.279221892,-0.610012829,-0.677300096,0.15071246,-0.259328812,-0.607710779,-0.67945224,0.713116407,0.035904605,0.117071524,-0.008844317,0.083614714
1032,0.15101175,0.475330949,0.790840566,0.951575994,0.653349817,0.397032082,0.185292378,0.121461198,0.650947273,0.376347899,0.146485999,0.079733759,0.148493677,-0.280258477,-0.610478759,-0.675187469,0.150004625,-0.259489328,-0.60677129,-0.67972374,0.713217616,0.027262144,0.095762454,-0.008568615,0.078543514
1071,0.152493179,0.476893693,0.792420924,0.953680992,0.655282855,0.39640379,0.179102555,0.113372646,0.653484643,0.380428851,0.148868561,0.078807205,0.150398433,-0.280067027,-0.612814605,-0.675807714,0.151076794,-0.258265972,-0.608287334,-0.679551423,0.714801729,0.017281391,0.078690365,0.005247666,0.085984401
1151,0.157662332,0.481374621,0.797031105,0.959828615,0.66429168,0.39918977,0.157952726,0.080711871,0.658563256,0.390156955,0.167648792,0.099003218,0.155826777,-0.278264076,-0.608532906,-0.673348427,0.155871481,-0.255762666,-0.605213344,-0.679493546,0.719326615,-0.009478004,0.086042188,0.028918659,0.106292494
1190,0.158866391,0.483342379,0.799983561,0.962071896,0.665497124,0.399775267,0.155394614,0.086067736,0.660011649,0.395896137,0.175004214,0.116939604,0.156798065,-0.277879208,-0.607542276,-0.672086656,0.157295823,-0.254087776,-0.603869438,-0.679378808,0.722033203,0.033815384,0.080617502,0.045601252,0.11303924
1230,0.159446403,0.484197259,0.800961256,0.963398576,0.666936517,0.400125414,0.154435083,0.086426772,0.660799682,0.398932546,0.179970816,0.127511352,0.157522827,-0.277903497,-0.600771427,-0.669347048,0.157737598,-0.252173424,-0.603385329,-0.680053532,0.722983181,-0.014006924,0.081224971,0.048015684,0.088492796
1270,0.160750642,0.485030711,0.801090181,0.964810789,0.667958617,0.39721179,0.152567744,0.082440205,0.662901938,0.402441919,0.185708776,0.138534337,0.158427417,-0.279846191,-0.600547135,-0.670105815,0.159366995,-0.251297563,-0.60193944,-0.679637969,0.72330606,0.008343486,0.084177099,0.056853201,0.132352993
1310,0.159843251,0.484160751,0.799971342,0.963455677,0.665525794,0.395442784,0.151814997,0.085854948,0.665280044,0.405093044,0.190235466,0.141016781,0.156616926,-0.280948609,-0.596121728,-0.669768214,0.15917033,-0.251557499,-0.615311027,-0.679644763,0.722268641,-0.000371365,0.084977768,0.064026788,0.131325901
1389,0.15367493,0.478824884,0.79520607,0.955391645,0.663356245,0.389625907,0.152929381,0.081606053,0.659124076,0.411267608,0.20681189,0.148492441,0.149938524,-0.289124936,-0.616069376,-0.684042513,0.153847083,-0.252540886,-0.618543744,-0.679505408,0.717362761,-0.018644135,0.05818427,0.094835132,0.130885839
1428,0.149293497,0.47485733,0.791605294,0.953319907,0.66078186,0.386634409,0.149174973,0.078996286,0.654553771,0.406628013,0.205739394,0.142511338,0.144960418,-0.293916017,-0.616820395,-0.685795665,0.150193825,-0.253915876,-0.610209644,-0.679394007,0.713682353,-0.004135347,0.103533708,0.089321099,0.165272325
1468,0.148886815,0.472339213,0.787164688,0.948982775,0.659845054,0.389190763,0.150453463,0.07931871,0.652215958,0.405762047,0.201756835,0.158691674,0.144546166,-0.294577122,-0.61726743,-0.684380651,0.149819508,-0.255129606,-0.614847064,-0.679371417,0.709694147,-0.014222648,0.105407871,0.085424766,0.161524326
1508,0.146445349,0.471317917,0.787128627,0.949480176,0.655997396,0.386494547,0.153488159,0.090890966,0.649836957,0.405665368,0.202556536,0.154346585,0.141603976,-0.28976053,-0.623904467,-0.687710583,0.147923738,-0.258988172,-0.618391514,-0.681003869,0.709450424,-0.008801163,0.127419889,0.074278027,0.158593103
1587,0.150728673,0.471989393,0.785477459,0.94620955,0.658335686,0.400317609,0.158083931,0.088475198,0.665940642,0.407737583,0.194724172,0.150549814,0.144684225,-0.289353698,-0.624813616,-0.686322451,0.153011739,-0.282416821,-0.602808833,-0.635886252,0.708299994,0.013123031,0.088462859,0.068930268,0.150028542
1627,0.149521187,0.471388936,0.785141945,0.944657803,0.662607491,0.40247947,0.161099494,0.090099566,0.662269056,0.403624147,0.193117142,0.149321139,0.145264268,-0.287922412,-0.624386847,-0.685281515,0.150003135,-0.28625983,-0.601627767,-0.663710117,0.707904696,0.013237778,0.105187207,0.078862302,0.139301792
1666,0.156827152,0.475882739,0.787326396,0.944762945,0.666310906,0.412527084,0.162903696,0.096453369,0.673122704,0.408220142,0.190410674,0.142835572,0.153348222,-0.279681861,-0.625389099,-0.685777903,0.156652763,-0.267392993,-0.599031329,-0.670143962,0.710614264,0.036961779,0.136816636,0.053118389,0.138802409
1706,0.158600196,0.477848172,0.789028466,0.944287241,0.673910558,0.416923314,0.163585961,0.095951423,0.669761002,0.408345193,0.189297587,0.133039966,0.15433003,-0.277440071,-0.623683155,-0.68478322,0.159391671,-0.26782158,-0.592970788,-0.669216037,0.712416768,0.018049743,0.060130116,0.075409465,0.122523211
