Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
11786,-0.151793644,-0.149519369,-0.146784618,-0.131019279,-0.254695833,-0.35297367,-0.416232169,-0.44522959,-0.020215459,0.042527914,0.089407347,0.106970169,-0.213587686,-0.134844556,-0.051403563,-0.055485509,-0.08693666,-0.128201395,-0.074581876,-0.032104589,-0.147555456,-0.454355359,-0.475325942,0.107480727,0.146919668
11864,-0.147413611,-0.145850882,-0.143966943,-0.121705554,-0.240577549,-0.349089414,-0.418195516,-0.445188999,-0.021961164,0.042495716,0.086565465,0.102975279,-0.209093243,-0.112159975,-0.116846792,-0.122146286,-0.082729943,-0.124675654,-0.094571039,-0.055704046,-0.144511253,-0.452165842,-0.471191883,0.117640652,0.141028777
11905,-0.151604265,-0.142382666,-0.131839842,-0.114860132,-0.235560402,-0.353547782,-0.418954194,-0.44969365,-0.01945705,0.040449094,0.082674004,0.101373859,-0.213042378,-0.106362179,-0.099455565,-0.158479571,-0.086850032,-0.206187338,-0.113231458,-0.036878295,-0.134697303,-0.460100859,-0.473999739,0.108569615,0.144188806
11944,-0.15179418,-0.141980872,-0.131551579,-0.109731913,-0.224189788,-0.346964538,-0.422641128,-0.462384373,-0.017612625,0.042838935,0.08110334,0.082633257,-0.212385982,-0.172687262,-0.211307913,-0.17595467,-0.087674707,-0.070996001,-0.087433659,-0.096890658,-0.134260371,-0.464050442,-0.499695569,0.094432473,0.106350236
11983,-0.152612716,-0.139619827,-0.126824334,-0.104710609,-0.219695389,-0.340272278,-0.448536605,-0.472491831,-0.018699307,0.043533757,0.074046247,0.077906415,-0.21204491,-0.176446572,-0.21016562,-0.218348533,-0.090164974,-0.084052667,-0.07835003,-0.101210199,-0.130051941,-0.477313131,-0.521060646,0.091254339,0.114119671
12024,-0.154435545,-0.139818609,-0.120291315,-0.097783059,-0.2116175,-0.352865428,-0.449452341,-0.477902025,-0.01395733,0.045116037,0.073451616,0.082091428,-0.215175271,-0.185534209,-0.208946258,-0.213749126,-0.09126392,-0.085226201,-0.085533485,-0.091637194,-0.12595807,-0.478389561,-0.514695525,0.103126459,0.115219504
12102,-0.132275432,-0.118048482,-0.103494778,-0.082650848,-0.19771345,-0.342191309,-0.446826398,-0.46004352,-0.012290489,0.049460109,0.081079654,0.088036403,-0.192132831,-0.226762712,-0.206582755,-0.219898194,-0.069564745,-0.08085487,-0.088083223,-0.102687791,-0.107262768,-0.491128623,-0.505932689,0.110454686,0.115977108
12143,-0.134123221,-0.118216775,-0.102493308,-0.06698674,-0.192736536,-0.341379255,-0.421945065,-0.450560868,-3.17E-06,0.051658731,0.091374539,0.095998891,-0.194801196,-0.224881083,-0.205706418,-0.216343552,-0.070750058,-0.0842117,-0.081917733,-0.093896024,-0.1064182,-0.483817101,-0.452240288,0.114139721,0.126163572
12182,-0.131582022,-0.108018339,-0.083312489,-0.06198268,-0.183065623,-0.333660901,-0.411127597,-0.427764326,0.017413232,0.05765342,0.091451138,0.096107446,-0.192702711,-0.221970856,-0.204046845,-0.211429209,-0.068026662,-0.088780716,-0.073660165,-0.082417168,-0.08921133,-0.464129359,-0.43665576,0.09589301,0.116988465
12221,-0.122051492,-0.097365722,-0.073396139,-0.042812485,-0.142083511,-0.300721675,-0.410101622,-0.428618431,0.04239215,0.067342959,0.096439287,0.105712824,-0.180218682,-0.220428631,-0.203257084,-0.216056019,-0.061603665,-0.084574729,-0.078186952,-0.092312545,-0.07957463,-0.453936815,-0.442724943,0.100613214,0.117992535
12262,-0.118381396,-0.087413497,-0.056070242,-0.029499687,-0.132809669,-0.292683214,-0.392977685,-0.419082344,0.055447351,0.072468244,0.098536082,0.113183908,-0.178771988,-0.22329627,-0.207220033,-0.212375626,-0.055447817,-0.07675653,-0.082787946,-0.089261577,-0.063795187,-0.442097187,-0.4346219,0.112710945,0.121042974
12301,-0.099208817,-0.067275666,-0.036181286,-0.013774587,-0.109416164,-0.262165219,-0.377923876,-0.403946638,0.07048095,0.087297335,0.105784215,0.114531994,-0.16099599,-0.224573076,-0.213408381,-0.223188281,-0.036307428,-0.056145791,-0.092292093,-0.103362791,-0.044049919,-0.423036367,-0.385771096,0.113906235,0.133889079
12381,-0.094243892,-0.05376564,-0.014267386,0.026677174,-0.090945549,-0.228926659,-0.311097682,-0.333039999,0.078586407,0.103989311,0.120519564,0.128896534,-0.152546406,-0.2251091,-0.237939864,-0.24621582,-0.034459062,-0.087395132,-0.10729856,-0.119635001,-0.024068093,-0.38353768,-0.345173031,0.127976954,0.124640927
12420,-0.092429444,-0.049830865,-0.007925912,0.031283241,-0.08806967,-0.242238119,-0.314844429,-0.330406398,0.085731208,0.113229647,0.12767005,0.134884089,-0.150777012,-0.223119318,-0.264894515,-0.275314182,-0.032635894,-0.073627003,-0.109518126,-0.121934518,-0.018316172,-0.344703317,-0.328744829,0.133757234,0.152352035
12459,-0.083560713,-0.041564558,-0.000283256,0.065064073,-0.07235761,-0.217430905,-0.309831589,-0.319722831,0.092815183,0.122395977,0.142376244,0.143422604,-0.143109322,-0.219014779,-0.275454283,-0.268685907,-0.023082551,-0.067315303,-0.1074441,-0.12126486,-0.010532047,-0.339232564,-0.338155836,0.134508193,0.168730035
12500,-0.059463013,-0.025276586,0.00985389,0.06761539,-0.062983148,-0.214064747,-0.306327462,-0.313649237,0.103155516,0.129093245,0.143802822,0.155147791,-0.115085147,-0.184349626,-0.284748197,-0.28742227,-0.002464537,-0.062188022,-0.103356592,-0.119897246,0.001018492,-0.32511276,-0.317795694,0.153551176,0.165222704
12578,-0.01807702,0.001438398,0.025367359,0.081904262,-0.038073059,-0.209660068,-0.300726414,-0.300078303,0.1185541,0.139109105,0.166872486,0.178615585,-0.073147118,-0.143319085,-0.27746737,-0.29336983,0.036941379,-0.072352804,-0.104744993,-0.160529271,0.019018382,-0.299414098,-0.30326125,0.190351367,0.189545497
12619,-0.017634304,0.006875373,0.034443054,0.088433757,-0.025094396,-0.166484207,-0.281984746,-0.293545306,0.127604157,0.144655764,0.172255814,0.182284325,-0.072664261,-0.090986826,-0.258974075,-0.271108031,0.037554968,-0.073989637,-0.101069175,-0.158506513,0.027472883,-0.292904019,-0.291963488,0.206254244,0.202497825
12658,-0.01199282,0.014518737,0.041373659,0.098232344,-0.016915498,0.07986287,0.17849651,0.182103395,0.134523943,0.151009962,0.179910928,0.189290687,-0.06585446,-0.078348897,-0.250075698,-0.131010428,0.041965257,-0.081179924,-0.098993398,-0.162639648,0.034682028,0.214106962,0.14776738,0.211431935,0.212458357
12697,-0.012324707,0.017495917,0.046584748,0.104048163,-0.005565336,0.080428712,0.181502566,0.185813904,0.139725521,0.155965135,0.185077339,0.194316164,-0.063816093,-0.063306719,-0.229693785,-0.116542362,0.038649961,-0.076573491,-0.099373139,-0.136673063,0.039169434,0.201191589,0.151410267,0.214081451,0.210203394
12738,-0.009055756,0.022637401,0.052655824,0.112286277,0.004522035,0.07431642,0.177451447,0.184390008,0.140736341,0.15696311,0.186129332,0.196387559,-0.062897779,-0.059245586,-0.198494479,-0.096982308,0.043538131,-0.083503596,-0.101670906,-0.156110346,0.045263771,0.195457608,0.148613095,0.218215168,0.210329458
12816,0.001156783,0.034817133,0.067889936,0.156946704,0.001733659,0.048439316,0.171902627,0.182483763,0.154625341,0.170728952,0.174288392,0.187391505,-0.055980816,-0.04695351,-0.19591713,-0.097483627,0.056868594,-0.01251795,-0.110348597,-0.094976552,0.059684463,0.219215691,0.203187585,0.211373866,0.230783492
12857,0.007541479,0.039510433,0.071161419,0.158822805,0.000943695,0.02565971,0.146015242,0.172740042,0.157927021,0.174013838,0.174754918,0.182727888,-0.050813705,-0.04268932,-0.125843391,-0.087219477,0.064978652,-0.008893684,-0.110810816,-0.095601976,0.063302606,0.216736242,0.134395123,0.208984315,0.225970104
12896,0.011945072,0.044881575,0.077776663,0.165216759,-0.00188532,0.009559429,0.119200736,0.15841642,0.164532289,0.180592015,0.180358842,0.180839404,-0.044111561,-0.038699664,-0.125281349,-0.087823182,0.068423517,-0.004532302,-0.110013761,-0.098672166,0.069595128,0.212181315,0.099671818,0.182913691,0.219021365
12935,0.017657911,0.05309245,0.087622516,0.170814991,-0.010311336,-0.028510887,0.09187521,0.130712494,0.174370214,0.190392628,0.18991971,0.201629326,-0.048122834,-0.037764076,-0.124617331,-0.08743725,0.083141454,-0.009191252,-0.107710131,-0.099531159,0.078981847,0.191274419,0.076589219,0.195705414,0.201893121
12976,0.011682973,0.050878573,0.091871731,0.175194755,-0.013376798,-0.045623053,0.078277193,0.115956143,0.178610593,0.194617674,0.194048345,0.206660911,-0.053877629,-0.036451325,-0.122939833,-0.088195279,0.076867312,-0.006257558,-0.108290799,-0.116697915,0.081352465,0.162800133,0.05952419,0.200735539,0.200131819
13054,-0.000334976,0.050684098,0.099612936,0.183428228,-0.019270558,-0.087408304,0.033778496,0.054468114,0.186334163,0.202316031,0.201696262,0.213906765,-0.060468324,-0.036506444,-0.128194034,-0.096126452,0.060194131,0.017766405,-0.10183011,-0.115399443,0.087484218,0.077709563,0.01078385,0.207970694,0.207352653
13095,-0.015964694,0.043531619,0.098045699,0.183715731,-0.021567969,-0.104384527,-0.032866001,-3.74E-05,0.184765175,0.200754613,0.148278743,0.133969292,-0.07943511,-0.037087407,-0.159376085,-0.093738921,0.04496846,0.090262011,-0.116067134,-0.135155201,0.084586285,0.033341628,-0.043286618,0.115991741,0.12542741
