MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
4920,0.130037382,0.003362316,-0.114991412,-0.070923641,-0.269509852,-0.293670744,-0.259993941,-0.22762832,0.019533871,0.04956409,0.068486087,0.014418306,0.056757048,-0.255133003,-0.196343333,-0.211504638,0.200875968,-0.044751737,-0.001195323,0.033718839,-0.084504209,-0.23091352,-0.26209867,-0.010487007,0.044239394
4961,0.135782823,0.02220897,-0.088930182,-0.044526234,-0.243493497,-0.267751306,-0.234148771,-0.201774865,0.045567449,0.078495055,0.097331487,0.043261897,0.089354798,-0.254639119,-0.199804291,-0.214689523,0.197034463,-0.061199602,0.002169569,0.03592518,-0.062530056,-0.205127761,-0.238382712,0.018273953,0.072658241
5039,0.15602015,0.032513857,-0.091432102,-0.047060534,-0.245993033,-0.270240813,-0.236645296,-0.204256967,0.043070011,0.074245937,0.093086019,0.039008036,0.09210787,-0.253924638,-0.208013624,-0.212653175,0.201429904,-0.053052764,0.003271722,0.042230017,-0.061801799,-0.207602769,-0.241206765,0.014032052,0.069168583
5080,0.13573049,0.023835232,-0.094075404,-0.049738076,-0.248633221,-0.27287063,-0.239274636,-0.206879154,0.040431008,0.071262844,0.09010718,0.03602495,0.04787688,-0.256560922,-0.207993031,-0.213978499,0.210833132,-0.045575507,0.003663171,0.042771164,-0.064535126,-0.210217595,-0.243457407,0.011057353,0.066452779
5119,0.13623248,0.021073578,-0.09864457,-0.054366417,-0.253194243,-0.27741468,-0.243814304,-0.211411685,0.035866458,0.066255681,0.085109979,0.031023927,0.089797996,-0.253741115,-0.206011429,-0.21454592,0.181704476,-0.053023133,0.005141147,0.043111295,-0.068673387,-0.21473828,-0.246448398,0.006070704,0.061133474
5158,0.151765198,0.025230039,-0.096935593,-0.052635349,-0.251487315,-0.275714368,-0.242125884,-0.20971629,0.037572712,0.06788034,0.08672592,0.032636598,0.095209293,-0.251847684,-0.206512675,-0.21371457,0.208065957,-0.039683349,0.004744981,0.043935664,-0.066584811,-0.213047683,-0.245400056,0.007678862,0.063925169
5199,0.150036693,0.025188595,-0.096660234,-0.052356418,-0.251212239,-0.275440365,-0.241859645,-0.209443107,0.037847601,0.068141378,0.086982183,0.032889575,0.094652139,-0.251565486,-0.205826133,-0.202714741,0.201601952,-0.045261398,0.005176788,0.042317212,-0.066474892,-0.21277526,-0.245186031,0.007931135,0.064309001
5277,0.132202685,0.015572626,-0.100801513,-0.056551334,-0.25534901,-0.279560894,-0.24598141,-0.213551387,0.03371327,0.063908264,0.082753077,0.028652629,0.086855739,-0.252020389,-0.206786558,-0.20363608,0.161712423,-0.073611595,0.005914466,0.041303523,-0.071817562,-0.216871887,-0.248481438,0.003706051,0.058583658
5318,0.126236156,0.005779948,-0.113394648,-0.069306955,-0.267919272,-0.292084754,-0.258479863,-0.22604394,0.021132171,0.051375985,0.070252337,0.016147874,0.07663767,-0.252227664,-0.206255645,-0.203274578,0.163239345,-0.069155149,0.005277451,0.040963188,-0.083833776,-0.229332209,-0.262502998,-0.008762841,0.045722201
5357,0.132473126,0.006238316,-0.114984222,-0.070917211,-0.269507736,-0.29366672,-0.260063201,-0.227620825,0.019546112,0.049796049,0.068673082,0.014564738,0.088432342,-0.25292027,-0.207401678,-0.204453543,0.173801869,-0.055790499,0.005507462,0.041855704,-0.085009143,-0.230904326,-0.264068902,-0.010341612,0.044149332
5396,0.132540494,0.007277051,-0.113357611,-0.069269657,-0.267884254,-0.29204914,-0.258455902,-0.226007178,0.021171385,0.051415984,0.070284814,0.016173523,0.060950253,-0.253960878,-0.207593888,-0.204603016,0.202372104,-0.047099173,0.005859807,0.037033029,-0.083495863,-0.229294762,-0.260654837,-0.008737447,0.047413997
5437,0.131762162,0.00714732,-0.113403372,-0.069316015,-0.267930001,-0.292094707,-0.25850752,-0.226052567,0.021125739,0.051370513,0.070235901,0.016121406,0.060140733,-0.254030526,-0.209422484,-0.206414491,0.201317802,-0.047532246,0.005834345,0.036995396,-0.083562106,-0.229340017,-0.260420233,-0.008789418,0.047693864
5515,0.125104144,0.004522825,-0.115664251,-0.071606435,-0.270189673,-0.294344962,-0.260762393,-0.228295311,0.01887013,0.049123805,0.067988582,0.013867402,0.051240575,-0.253679782,-0.210367426,-0.207288474,0.197096139,-0.046310838,0.006876406,0.037299592,-0.085940853,-0.231575891,-0.263171703,-0.011037221,0.045052942
5556,0.12471436,0.004138845,-0.115938731,-0.071884461,-0.270463616,-0.294617951,-0.261040449,-0.2285676,0.018595923,0.048850596,0.067712784,0.013588676,0.051267426,-0.257459491,-0.210630298,-0.207562044,0.194095582,-0.048823804,0.005195972,0.038375229,-0.086204499,-0.231847465,-0.263153315,-0.011315147,0.045061581
5595,0.128824636,0.004966229,-0.115992695,-0.071939126,-0.270517558,-0.294671625,-0.261093974,-0.22862111,0.018542064,-0.073458038,-0.081511319,-0.135669321,0.071787447,-0.258649826,-0.211225241,-0.20815444,0.193968013,-0.050049543,0.013836065,0.03747059,-0.086190663,-0.231900826,-0.263058007,-0.160144031,-0.105081409
5634,0.127443179,0.004269072,-0.116426937,-0.07237868,-0.270949364,-0.295102477,-0.261536837,-0.229052007,0.018106546,0.043397032,0.062267452,0.008138095,0.064313173,-0.259174913,-0.211348429,-0.208315685,0.191638559,-0.051542737,0.012388435,0.038300242,-0.086635068,-0.232331201,-0.263403118,-0.016749877,0.037764803
5675,0.128448203,0.005253139,-0.115626089,-0.071567491,-0.270149708,-0.294305831,-0.26075229,-0.228257522,0.0189064,0.045443896,0.064302839,0.010170748,0.06506107,-0.25919804,-0.211517796,-0.208485216,0.192246735,-0.050172359,0.0133516,0.039715756,-0.085763261,-0.231538862,-0.262354434,-0.014723062,0.038725398
5753,0.132370859,0.005659253,-0.116208412,-0.072157592,-0.270732731,-0.294886053,-0.261345387,-0.23986128,0.018326461,0.044443946,0.063296773,0.009158567,0.057787169,-0.258674413,-0.211022973,-0.207953647,0.19054693,-0.049552128,0.012535338,0.041171506,-0.086172417,-0.238943115,-0.276281476,-0.015732637,0.038778439
