Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
634,0.027541749,0.261942655,0.495069891,0.643519402,0.403630912,0.177740231,-0.062987946,-0.086183682,0.384626925,0.170225561,-0.063165218,-0.107343107,0.028873166,-0.212087065,-0.619979441,-0.690080523,0.025849668,-0.196520954,-0.61649102,-0.703228354,0.437225908,-0.155672625,-0.067708053,-0.148015097,-0.139409512
674,0.065416358,0.299133748,0.528468132,0.671860993,0.440047443,0.177102715,-0.073524594,-0.096098229,0.43699342,0.201207906,-0.011681432,-0.066458791,0.067648962,-0.212743446,-0.625527918,-0.711911261,0.062527277,-0.184412733,-0.604600489,-0.688059092,0.471670181,-0.158886895,-0.081291303,-0.14617458,-0.069158278
754,0.082610898,0.325441092,0.566873968,0.714128792,0.463165492,0.19229801,-0.017755786,-0.070189424,0.450513095,0.21734184,-0.000967262,-0.046742246,0.085566312,-0.18550238,-0.615894198,-0.683734834,0.078531452,-0.188328266,-0.602235675,-0.687083244,0.507018209,-0.133885428,-0.082299277,-0.124397144,-0.034450274
793,0.090453111,0.333438903,0.574677348,0.721484542,0.469636858,0.258435696,0.007885649,-0.056315195,0.47115922,0.223428354,0.001227054,-0.050941821,0.09201318,-0.236045793,-0.615930498,-0.683153868,0.087843075,-0.203306362,-0.602662504,-0.687423408,0.514777839,-0.121816352,-0.050396558,-0.123998091,-0.105698436
833,0.095460385,0.340442151,0.583145976,0.729329526,0.481879562,0.258536279,0.050487775,-0.015822722,0.479904383,0.224354416,0.002869717,-0.050737958,0.09684927,-0.154976591,-0.607061863,-0.673710942,0.09286996,-0.204061851,-0.576425731,-0.643300414,0.522936344,-0.080176391,0.009051934,-0.124234803,-0.092492238
872,0.096768185,0.342355996,0.585156083,0.732978702,0.485073596,0.259394526,0.021296358,0.004821842,0.48231554,0.226367965,0.01140577,-0.001553016,0.098147735,-0.230693638,-0.615396202,-0.682160497,0.094133757,-0.203856602,-0.590121806,-0.657081246,0.524962902,-0.059037346,0.02104005,-0.059402708,-0.037649162
912,0.096905164,0.342836022,0.585915744,0.732815862,0.485512704,0.25879252,0.020634942,0.011124595,0.480625093,0.225929633,0.013519022,0.002693721,0.098681919,-0.150796607,-0.604104161,-0.671007395,0.093743123,-0.203616783,-0.593559325,-0.660558462,0.525656521,-0.052765749,0.032581791,-0.059407763,-0.01512931
991,0.087775744,0.331710219,0.568357289,0.71378547,0.484161735,0.257380724,0.02049638,-0.004003191,0.464694858,0.221852049,0.011284432,-0.005398849,0.089808024,-0.179699808,-0.618287444,-0.686919093,0.084385633,-0.197398409,-0.594401479,-0.679718375,0.510128736,-0.059009455,0.004919677,-0.059643138,-0.017426912
1031,0.073458157,0.310877681,0.542262077,0.684005141,0.447544783,0.246767625,0.018048307,-0.009607722,0.455131114,0.215196237,0.005792289,-0.007019233,0.077179894,-0.180317029,-0.617394924,-0.687775731,0.068551332,-0.194741324,-0.597996235,-0.682694077,0.485049516,-0.06947355,0.007763199,-0.057086114,-0.027142014
1071,0.06229841,0.290901661,0.505571425,0.655540287,0.430264473,0.197604775,-0.009612164,-0.067433752,0.452406973,0.184766605,-0.024514891,-0.075581029,0.060559575,-0.188094333,-0.616524994,-0.690211058,0.062269539,-0.188453883,-0.599771678,-0.686989188,0.453568786,-0.126429021,-0.036641967,-0.146358281,-0.083267026
