Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
13293,3.963629484,3.927604675,3.884236574,3.836676121,3.79892683,3.746388674,3.703380585,3.71471715,3.962323666,3.960055828,4.082303047,4.107582092,3.893948555,3.875345707,3.933855057,3.872268915,3.972994566,4.000928402,4.013750076,3.989003181,3.896040678,3.731010914,3.757500172,4.119962215,4.112000465
13333,3.979192495,3.9405756,3.892589808,3.842742205,3.814354897,3.773838758,3.731518745,3.74821496,3.962318659,4.03303957,4.069911957,4.098611355,3.917132854,3.893515825,3.96795845,3.917327404,3.981673002,4.007136822,4.015653133,4.001219749,3.906183243,3.766315937,3.798000097,4.101211071,4.068999767
13372,3.989814997,3.950847149,3.902437925,3.851299047,3.831146955,3.7953372,3.76701355,3.783089161,3.971875429,4.011530876,4.05886364,4.103217602,3.928525448,3.912101507,4.003258228,3.927993298,3.990310192,4.011875153,4.018424988,3.906553268,3.916286469,3.793701649,3.826499939,4.105957985,4.091500282
13412,4.000473022,3.959795713,3.909600019,3.857534885,3.841979504,3.82214427,3.790812969,3.801597118,3.978897333,4.00224781,4.071183681,4.095830917,3.940572977,3.930001497,4.045398712,3.968746662,3.999307632,4.016219616,4.021522045,3.908537865,3.923908234,3.812998295,3.79433322,4.094922066,4.101800442
13452,4.01022625,3.967206955,3.914674759,3.867192507,3.853804827,3.840903282,3.82719183,3.8414464,3.986124754,4.006973743,4.078457355,4.089830875,3.951653957,3.956463337,4.060527802,3.984241247,4.007731438,4.019316673,4.028689384,3.914751768,3.929584503,3.860801458,3.83628583,4.098206997,4.073600292
13531,4.037824154,3.988138437,3.930330276,3.8811028,3.878764153,3.882060289,3.881169558,3.901359558,3.992122173,4.043899536,4.075286865,4.069980621,3.988666534,3.991258383,4.113949299,4.03939867,4.026648998,4.025982857,4.022808552,3.905794382,3.946516752,3.920194626,3.902400255,4.07787323,4.023250103
13571,4.051305294,3.998630285,3.937591076,3.88441658,3.88935113,3.904534578,3.894430399,3.915608168,3.99347353,4.027843952,4.068475723,4.059856415,4.001396656,4.006743908,4.128665447,4.053357124,4.039975643,4.0282197,4.02621603,3.908205986,3.954596043,3.930916071,3.910714388,4.067540646,4.014999866
13610,4.065235138,4.009821892,3.94568491,3.88839674,3.901227713,3.917635441,3.905890226,3.921262026,3.996850014,4.014171124,4.052970409,4.05009222,4.019423962,4.025363445,4.142813683,4.082217693,4.050407887,4.029168606,4.024531364,3.905753374,3.963508129,3.932620525,3.91711092,4.082875252,4.011272907
13650,4.077116013,4.01819706,3.950956345,3.894937754,3.909818411,3.929621696,3.92154479,3.938880682,4.000423431,4.06104517,4.046704769,4.03879118,4.033613205,4.038042545,4.148114204,4.08590126,4.059638977,4.033900738,4.024598122,3.905525208,3.969637394,3.956620932,3.934692621,4.038086891,4.015432358
13690,4.091358662,4.027693748,3.955316782,3.896161795,3.918626785,3.943789244,3.927779913,3.954360247,4.002313137,4.061046124,4.028867245,4.025577545,4.047290802,4.048757076,4.154746056,4.08872366,4.074084759,4.038110733,4.037806988,3.918614626,3.975248098,3.96136117,3.940473557,4.038465023,4.019714355
13769,4.113238811,4.044669151,3.966392756,3.904836893,3.935600281,3.97179985,3.952296495,3.9730618,4.005132675,4.052331448,4.019751072,4.0172472,4.071485519,4.06762743,4.157779694,4.088810921,4.093752861,4.046112061,4.039215088,3.919498444,3.9879179,3.974065065,3.963777781,4.020717621,4.012833595
13809,4.128185749,4.05073595,3.96563983,3.904322147,3.948056698,3.977566004,3.959538221,3.981001854,4.008611202,4.058084965,4.026609421,4.022368431,4.088909626,4.075583935,4.157868385,4.089610577,4.106343746,4.051282883,4.045788765,3.926351547,3.988893509,3.974879742,3.962918282,4.020386219,4.011444569
13849,4.139487267,4.059982777,3.971226931,3.908173323,3.948900223,3.987475872,3.965069056,3.985323906,4.012352467,4.059816837,4.02589941,4.025303364,4.096848011,4.079222679,4.159806728,4.092900276,4.121644974,4.054439545,4.07886982,3.960003614,3.995433331,3.984225512,3.973562479,4.029221535,4.003285885
13888,4.151177883,4.067503929,3.974810123,3.91030407,3.957076073,3.992743731,3.965606928,3.990261316,4.012820244,4.06940794,4.026492596,4.031366825,4.109879494,4.084424496,4.161197186,4.098772526,4.131468773,4.057758808,4.096731186,4.027327061,3.999919176,3.984079361,3.978250265,4.025555611,4.016294003
13928,4.167040825,4.076402187,3.978116512,3.912238836,3.963994503,4.008453846,4.015870094,4.019113541,4.013557434,4.07896328,4.032327175,4.037285805,4.132138252,4.08786726,4.16288805,4.100252151,4.141728401,4.063622475,4.111030102,3.992897272,4.004601479,4.027974129,4.013153553,4.029023647,4.018199921
14007,4.188147545,4.088638783,3.980296373,3.91036272,3.974518061,4.015495777,4.011140347,4.026043415,4.012771606,4.088868618,4.048165798,4.05491972,4.153333664,4.093298435,4.165187836,4.104086876,4.161904812,4.080667973,4.140413761,4.087543011,4.009408474,4.022208691,4.015815735,4.035378456,4.041000366
14047,4.202370644,4.09907198,3.986070156,3.915939331,3.982605219,4.032339573,4.015804768,4.033021927,4.01303339,4.093926907,4.052517891,4.076940536,4.165987492,4.094119549,4.164956093,4.104305267,4.177462101,4.085772514,4.148525238,4.098907471,4.016381741,4.032713413,4.017428875,4.077905178,4.075714588
14087,4.217151642,4.108428478,3.989541531,3.915591717,3.985747099,4.040026188,4.035436153,4.043554783,4.012130737,4.104900837,4.059488773,4.09766674,4.181842327,4.0950284,4.165174484,4.104772568,4.191099644,4.090013504,4.152817249,4.104351521,4.02131176,4.035933495,4.03655529,4.078239441,4.09980011
14126,4.231153965,4.115017414,3.989020109,3.917058706,3.995507479,4.062234879,4.053654671,4.061244965,4.013054848,4.107967377,4.066219807,4.101959705,4.196307182,4.099737167,4.165295124,4.105839252,4.204597473,4.100407124,4.159224987,4.103897572,4.022778511,4.066559315,4.068200588,4.11263895,4.100200176
14166,4.290002823,4.149410725,3.998431921,3.926684856,4.008318901,4.072969913,4.062795639,4.068417549,4.025128841,4.119021893,4.071750164,4.112922192,4.253477097,4.103244305,4.166335583,4.107738018,4.265068531,4.102651119,4.158754826,4.104893208,4.037131786,4.063826084,4.074666977,4.110908508,4.110399723
14245,4.31880188,4.166205883,4.007905006,3.93497324,4.024235725,4.099105835,4.070856094,4.077548027,4.033129692,4.131184578,4.103193283,4.118020535,4.283092022,4.089634895,4.163541794,4.102816582,4.295661926,4.098758221,4.170612335,4.106027603,4.049666405,4.077605724,4.071466923,4.115947247,4.122124672
14285,4.318864346,4.176211834,4.024674416,3.947497606,4.048616409,4.102973461,4.07725811,4.094493389,4.047737598,4.151058674,4.09875536,4.115847111,4.288245678,4.087050915,4.16651392,4.09431982,4.288156509,4.097318172,4.162996292,4.108709335,4.064753532,4.096231937,4.126785755,4.080571175,4.10466671
14325,4.316550255,4.170031071,4.012742519,3.936644316,4.052224159,4.117278576,4.094056606,4.090062618,4.052577972,4.164664268,4.099685669,4.10832119,4.281302929,4.082769394,4.170277119,4.075669289,4.288814068,4.086753368,4.167770386,4.098406315,4.054593086,4.069228649,4.080749989,4.066740036,4.098142624
14364,4.315824986,4.168127537,4.010480404,3.944388151,4.056817532,4.130745411,4.095228672,4.090961456,4.055794239,4.149516106,4.109719753,4.113549709,4.284074306,4.087790012,4.166129589,4.108369827,4.283910751,4.083220005,4.161201,4.095897198,4.051988125,4.073483944,4.098857403,4.061245441,4.093800068
14404,4.337144852,4.188217163,4.030225277,3.963112831,4.079977036,4.175607204,4.09956646,4.098173141,4.080054283,4.174465179,4.096411705,4.097698212,4.310742378,4.085337639,4.166044712,4.096261501,4.301407337,4.082104683,4.161007881,4.0986166,4.071732044,4.078566551,4.098500252,4.048243046,4.04066658
14483,4.366145134,4.212605476,4.049523354,3.987317085,4.10760355,4.201336384,4.093617916,4.090034962,4.102824688,4.210209846,4.086624622,4.063922405,4.338481426,4.085868835,4.164912224,4.080091,4.332466125,4.077542782,4.163740635,4.091681004,4.092170238,4.062633991,4.090600491,4.029741764,4.019000053
14524,4.461019516,4.270020485,4.064541817,4.001651287,4.116014481,4.217469215,4.099270821,4.092996597,4.115289688,4.21818018,4.099741936,4.082262516,4.429891586,4.117306709,4.199981213,4.098977089,4.430553913,4.108874321,4.190737724,4.106208801,4.114310741,4.063180923,4.103750229,4.028580189,4.060167313
14563,4.479057312,4.283504009,4.084616661,4.022119045,4.13047123,4.231141567,4.112466812,4.100186825,4.128510475,4.228347301,4.116661072,4.080595016,4.455503464,4.089492798,4.159934521,4.101092815,4.44243288,4.079959393,4.151895046,4.104637623,4.136484623,4.069668293,4.106499672,4.038242817,4.046999931
14602,4.437203407,4.280462265,4.108670235,4.048735619,4.156766891,4.245100498,4.120132923,4.10714674,4.15049839,4.229252815,4.094824314,4.087795734,4.411061287,4.086807251,4.159741879,4.09842968,4.401747227,4.079056263,4.151385784,4.104771614,4.154026508,4.076910019,4.122125149,4.036393166,4.043500423
14682,4.451375484,4.319264889,4.178170681,4.104501247,4.200007915,4.264108658,4.125910759,4.113279343,4.193332672,4.269362926,4.125113964,4.080029964,4.42058754,4.086923599,4.15887022,4.10181284,4.420958996,4.082660675,4.157066345,4.103922367,4.215371132,4.077563763,4.107625008,4.036743641,4.059428692
14721,4.460519791,4.342208862,4.223762035,4.150409222,4.223486423,4.267175674,4.113649368,4.093510151,4.237648964,4.280356407,4.129281044,4.086579323,4.428757191,4.087734222,4.158858299,4.101716518,4.430900097,4.08797121,4.156869411,4.101770401,4.254258633,4.060228348,4.086400509,4.045847416,4.065249443
14762,4.466807365,4.356793404,4.240993977,4.175284386,4.249863148,4.303431988,4.142805576,4.120035648,4.255777836,4.318377018,4.162550926,4.137159348,4.433529377,4.090205193,4.157498837,4.101451397,4.438902855,4.090312958,4.156508923,4.102805614,4.271859646,4.075977325,4.117571831,4.077744961,4.12100029
14801,4.46846199,4.369102478,4.275285244,4.2105546,4.284295559,4.333963394,4.147703171,4.132860661,4.287062168,4.321997643,4.165675163,4.119796753,4.43345356,4.093831062,4.156923294,4.103401661,4.442706108,4.098405838,4.158556938,4.104178429,4.299567699,4.086823463,4.124428749,4.064073563,4.08700037
14840,4.487376213,4.408408165,4.309838772,4.240981102,4.304472446,4.354561806,4.156910419,4.13945961,4.314808846,4.331805229,4.174138546,4.151288986,4.453609943,4.099526405,4.157204628,4.102023602,4.459700108,4.103769302,4.158572197,4.103560925,4.337455273,4.108221531,4.148666382,4.081839561,4.093874931
14920,4.490806103,4.43300724,4.373977661,4.309716225,4.35941124,4.376261234,4.203804016,4.199359894,4.367567062,4.380484581,4.217569828,4.185916424,4.456127644,4.107496738,4.157366276,4.100589752,4.464212418,4.11133194,4.158769608,4.109989166,4.391328335,4.148983002,4.177000046,4.091238022,4.086200237
14959,4.494470596,4.44978714,4.398756027,4.342665672,4.408136368,4.404469967,4.228277206,4.221740723,4.400998116,4.389058113,4.22414875,4.187195301,4.464203358,4.113307953,4.157920361,4.101369858,4.46521759,4.113375187,4.158760071,4.111019135,4.41305542,4.179718494,4.205375195,4.097567081,4.200857639
15000,4.494471073,4.460607529,4.434289932,4.374629498,4.421793938,4.404489517,4.22844553,4.214007854,4.421890259,4.417551041,4.255155563,4.23890686,4.464262486,4.11236763,4.158379078,4.099851608,4.464789867,4.119258881,4.159502029,4.113910198,4.441681862,4.146465778,4.205999851,4.189242363,4.186200142
